Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,4111517,,57058288,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,3684439,,68673263,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,2916301,,58937231,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,4597909,,77772463,,,0
H3,2011,2011,2011,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,3226386,,69075129,,,0
