Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,2399268,,54038384,,,0
H1,2006,2006,2006,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,1965724,,19865374,,,0
H1,2007,2007,2007,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,1860905,,20682836,,,0
H1,2008,2008,2008,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,1210911,,17516778,,,0
H1,2009,2009,2009,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,1342496,,20295859,,,0
