Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,29,,,,240156,,181104,,,2
H1,2001,2001,2001,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,47,,,,5577,,298268,,,2
H1,2001,2001,2001,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,160,,,,52064,,1006150,,,2
H1,2001,2001,2001,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,298,,,,86065,,1880764,,,2
H1,2001,2001,2001,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,10,,,,6461,,62145,,,2
H1,2002,2002,2002,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,62,,,,207643,,369932,,,2
H1,2002,2002,2002,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,1,,,,3439,,7524,,,2
H1,2002,2002,2002,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,88,,,,27229,,526765,,,2
H1,2002,2002,2002,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,51,,,,12559,,303694,,,2
H1,2002,2002,2002,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,9,,,,14072,,55076,,,2
H1,2003,2003,2003,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,33,,,,143593,,209540,,,2
H1,2003,2003,2003,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,0,,,,125,,1149,,,2
H1,2003,2003,2003,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,52,,,,60219,,334408,,,2
H1,2003,2003,2003,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,7,,,,10602,,42376,,,2
H1,2003,2003,2003,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",5,Number of items,21,,,,14466,,132607,,,2
H1,2004,2004,2004,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,324634,,1455958,,,0
H1,2004,2004,2004,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,1483,,7984,,,0
H1,2004,2004,2004,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,12271,,62320,,,0
H1,2004,2004,2004,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,134500,,4891247,,,0
H1,2004,2004,2004,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,16281,,467150,,,0
H1,2005,2005,2005,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,604859,,3914923,,,0
H1,2005,2005,2005,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,2351,,13246,,,0
H1,2005,2005,2005,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,20516,,316802,,,0
H1,2005,2005,2005,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,8431,,291663,,,0
H1,2005,2005,2005,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Industrial machinery nes for food, drink preparation",1,No Quantity,,,,,42589,,1045784,,,0
