Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,2690723,,17922976,,,0
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,173763,,7022467,,,0
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,14526,,674716,,,0
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,5702,,192532,,,0
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,39040,,1428665,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,1598947,,11293253,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,414498,,9908396,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,60533,,3651573,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,12867,,1373771,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,32275,,2243096,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,1848761,,16711312,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,25783,,505660,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,118525,,3951223,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,50156,,5106967,,,0
H4,2014,2014,2014,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,42783,,2521008,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,2662522,,20227851,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,347554,,13599786,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,89947,,4821514,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,1705,,258045,,,0
H4,2015,2015,2015,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,67264,,1541462,,,0
H3,2011,2011,2011,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,1613935,,13099066,,,0
H3,2011,2011,2011,6,1,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,269689,,9655424,,,0
H3,2011,2011,2011,6,1,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,20317,,1589723,,,0
H3,2011,2011,2011,6,1,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,10279,,930935,,,0
H3,2011,2011,2011,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,843880,"Machinery n.e.s. in Ch.84, for the industrial preparation/manufacture of food/drink, other than machinery for the extraction/preparation of animal/fixed vegetable fats/oils",1,No Quantity,,,,,17610,,1139358,,,0
