Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,2992738,,50086378,,,2
H5,2018,2018,2018,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,3665951,,52986404,,,2
H5,2019,2019,2019,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,8328973,,76818158,,,2
H5,2020,2020,2020,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,0,,,,3318066,,42564850,,,6
H4,2016,2016,2016,6,1,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,843880,"Machinery; used in the industrial preparation or manufacture of food or drink, n.e.c. in heading no. 8438",1,No Quantity,,,,,3759934,,63075831,,,0
