Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2010,2010,2010,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,1902,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.",8,Weight in kilograms,112135339,,,,112135339,,143500267,,,0
H1,2006,2006,2006,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,1902,"Pasta, couscous, etc.",8,Weight in kilograms,75671762,,,,75671762,,61740845,,,0
H1,2007,2007,2007,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,1902,"Pasta, couscous, etc.",8,Weight in kilograms,88650749,,,,88650749,,79658494,,,0
H1,2008,2008,2008,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,1902,"Pasta, couscous, etc.",8,Weight in kilograms,86543530,,,,86543530,,112369433,,,0
H1,2009,2009,2009,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,1902,"Pasta, couscous, etc.",8,Weight in kilograms,97001567,,,,97001567,,120323493,,,0
